id,name,cpu,ram,gpu,battery,volume,weight,display,maker,sw_os,price,image,content
16,삼성전자 노트북 플러스 NT550XCR-AD3A,인텔_코어i3-10세대_i3-10110U (2.1GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),661820,삼성전자imgs15.jpg,삼성전자imgsdt15.jpg
17,삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,GTX1650 TiMAX-Q,43,500,1.85,15.6,삼성전자,윈도우10,1640000,삼성전자imgs16.jpg,삼성전자imgsdt16.jpg
18,삼성전자 갤럭시북 플렉스2 NT950QDA-XC71Z,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,mx450,69.7,512,1.57,15.6,삼성전자,윈도우10,2449440,삼성전자imgs17.jpg,삼성전자imgsdt17.jpg
19,삼성전자 노트북 플러스2 NT550XDA-K78AW 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,43,256,1.81,15.6,삼성전자,윈도우10,1379000,삼성전자imgs18.jpg,삼성전자imgsdt18.jpg
20,삼성전자 갤럭시북 이온2 NT950XDA-XC58W,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.26,15.6,삼성전자,윈도우10,1804790,삼성전자imgs19.jpg,삼성전자imgsdt19.jpg
21,삼성전자 갤럭시북 플렉스2 NT950QDZ-G58AZ,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.57,15.6,삼성전자,미포함(프리도스),2049000,삼성전자imgs20.jpg,삼성전자imgsdt20.jpg
22,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-KF58,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1577960,삼성전자imgs21.jpg,삼성전자imgsdt21.jpg
23,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,미포함(프리도스),1699190,삼성전자imgs22.jpg,삼성전자imgsdt22.jpg
24,삼성전자 갤럭시북 플렉스2 5G NT930QCA-KC71S,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,69.7,512,1.26,13.3,삼성전자,윈도우10,2679000,삼성전자imgs23.jpg,삼성전자imgsdt23.jpg
25,삼성전자 2019 노트북9 Always NT930XBE-K717A,인텔_코어i7-8세대_i7-8565U (1.8GHz),16,내장그래픽,75,256,995,13.3,삼성전자,윈도우10,1804040,삼성전자imgs24.jpg,삼성전자imgsdt24.jpg
26,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1833590,삼성전자imgs25.jpg,삼성전자imgsdt25.jpg
27,삼성전자 갤럭시북 이온 NT930XCR-A38A,인텔_코어i3-10세대_i3-10110U (2.1GHz),8,내장그래픽,69.7,256,970,13.3,삼성전자,미포함(프리도스),1022390,삼성전자imgs26.jpg,삼성전자imgsdt26.jpg
28,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A38A,인텔_코어i3-10세대_i3-10110U (2.1GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,미포함(프리도스),1389800,삼성전자imgs27.jpg,삼성전자imgsdt27.jpg
29,삼성전자 갤럭시북S NT767XCM-K58S,인텔_코어i5-10세대_i5-L16G7 (1.4GHz),8,내장그래픽,42,256,950,13.3,삼성전자,윈도우10,1148000,삼성전자imgs28.jpg,삼성전자imgsdt28.jpg
30,삼성전자 오디세이 NT850XCJ-XC716,인텔_코어i7-10세대_i7-10750H (2.6GHz),16,RTX2070SUPERMAX-Q,54,512,2.39,15.6,삼성전자,윈도우10,2917990,삼성전자imgs29.jpg,삼성전자imgsdt29.jpg
31,삼성전자 노트북 NT350XCR-AD5WA,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),798000,삼성전자imgs30.jpg,삼성전자imgsdt30.jpg
32,삼성전자 노트북 NT350XCR-A58M,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),731490,삼성전자imgs31.jpg,삼성전자imgsdt31.jpg
33,삼성전자 갤럭시북 이온2 NT930XDZ-A58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,내장그래픽,69.7,256,970,13.3,삼성전자,미포함(프리도스),1399000,삼성전자imgs32.jpg,삼성전자imgsdt32.jpg
